combined_key,ASIN,BRAND,MARKETPLACE,reg_slope,kmeans_label,hdbscan_label
Espring__IT__B01HMJ2OF0,B01HMJ2OF0,Espring,IT,-0.02769230769230762,2,-1
H&S__IT__B00BVUIVYU,B00BVUIVYU,H&S,IT,0.13846997532218255,3,-1
H&S__IT__B00C1S9C4Y,B00C1S9C4Y,H&S,IT,-0.024749026583900383,4,0
Tritart__IT__B073WBT4V7,B073WBT4V7,Tritart,IT,1.9231598945306895e-31,6,2
H&S__US__B00TY0BZ56,B00TY0BZ56,H&S,US,0.024013776106868324,4,-1
Espring__DE__B01JA9T2N2,B01JA9T2N2,Espring,DE,-0.03285190451245978,7,8
H&S__US__B00C13AZFE,B00C13AZFE,H&S,US,0.2106354731479083,4,0
H&S__DE__B06Y4ND4LX,B06Y4ND4LX,H&S,DE,-0.054753136149154114,1,1
H&S__US__B016AHAPJC,B016AHAPJC,H&S,US,0.05365430761479598,5,7
Tritart__DE__B083DJDRT1,B083DJDRT1,Tritart,DE,-0.09217801753202973,0,5
H&S__IT__B06Y51KHKW,B06Y51KHKW,H&S,IT,-1.0,6,2
Espring__US__B01HZDQ5Q2,B01HZDQ5Q2,Espring,US,3.124354186391129e-05,2,9
H&S__ES__B07DK6L9N7,B07DK6L9N7,H&S,ES,0.0,3,-1
Espring__ES__B01J3WOZ4M,B01J3WOZ4M,Espring,ES,-0.0,1,4
H&S__ES__B00TY0BZ56,B00TY0BZ56,H&S,ES,-0.012240823071172838,4,-1
H&S__DE__B00TY0BZ56,B00TY0BZ56,H&S,DE,-0.056803105498501316,4,0
H&S__ES__B07DZHXPL6,B07DZHXPL6,H&S,ES,-0.0021704180064308666,3,-1
Espring__US__B098XG9G97,B098XG9G97,Espring,US,0.024215125245901636,2,9
Espring__ES__B01AM85KWW,B01AM85KWW,Espring,ES,0.0,1,-1
H&S__US__B071LJBPNT,B071LJBPNT,H&S,US,-1.1144314836923075,1,4
Espring__DE__B08B8GDLSH,B08B8GDLSH,Espring,DE,-1.6938599837529029e-31,1,1
Tritart__US__B074LTCT6C,B074LTCT6C,Tritart,US,-0.05998446678971409,3,-1
H&S__IT__B01N8XWTUI,B01N8XWTUI,H&S,IT,0.0,5,-1
Tritart__DE__B08DD1R735,B08DD1R735,Tritart,DE,-0.3128952122854561,6,-1
Tritart__DE__B085H4Z36Y,B085H4Z36Y,Tritart,DE,-0.1906077348066298,6,2
Espring__ES__B01HMJ2LQW,B01HMJ2LQW,Espring,ES,0.20446808510638229,0,5
Espring__IT__B01LPSMHS8,B01LPSMHS8,Espring,IT,-0.0,1,-1
Espring__IT__B01LQ4CZ3S,B01LQ4CZ3S,Espring,IT,-1.0501792114695343,2,9
Espring__DE__B01HMJ2LQW,B01HMJ2LQW,Espring,DE,-0.14590097402597396,0,5
Espring__ES__B092JHRZ4H,B092JHRZ4H,Espring,ES,-1.6179999999999994,2,9
Espring__DE__B088MGYR8K,B088MGYR8K,Espring,DE,-5.156679562819013e-32,5,7
Espring__ES__B01LXCW0VK,B01LXCW0VK,Espring,ES,-0.0,2,-1
Espring__ES__B071W1B6L3,B071W1B6L3,Espring,ES,0.14675438596491264,4,0
Espring__IT__B01HXX8RVA,B01HXX8RVA,Espring,IT,0.0,1,4
H&S__UK__B01MRVUOAB,B01MRVUOAB,H&S,UK,0.0021129416815281418,1,-1
Espring__DE__B085F37HBC,B085F37HBC,Espring,DE,0.009949508733624443,0,5
Tritart__IT__B01LIQ82OA,B01LIQ82OA,Tritart,IT,-0.20277563608326915,0,5
H&S__DE__B0721JH8PH,B0721JH8PH,H&S,DE,-0.04335699797160249,2,-1
H&S__US__B073TRQQQT,B073TRQQQT,H&S,US,-0.023126775339487805,7,8
H&S__DE__B07J5SM2HC,B07J5SM2HC,H&S,DE,-0.33434062108341467,4,0
Espring__US__B01HOA4J5K,B01HOA4J5K,Espring,US,-0.11799979396510926,7,8
Espring__ES__B01LQ4CZ3S,B01LQ4CZ3S,Espring,ES,-0.18512110726643619,2,9
H&S__DE__B0791GDKBP,B0791GDKBP,H&S,DE,0.0,4,-1
H&S__IT__B01MSWBUX5,B01MSWBUX5,H&S,IT,-0.050632911392405,4,0
H&S__IT__B01MSWBUX5,B01MSWBUX5,H&S,IT,-0.050632911392405,4,0
H&S__ES__B07GKV4789,B07GKV4789,H&S,ES,-0.5327929255711128,4,-1
H&S__DE__B06Y4JMTWV,B06Y4JMTWV,H&S,DE,0.029042224510813595,2,-1
H&S__DE__B07GZ818S1,B07GZ818S1,H&S,DE,0.0,3,-1
Espring__ES__B092D6Z5S6,B092D6Z5S6,Espring,ES,0.4407837445573298,3,3
H&S__UK__B06Y4S6ZCP,B06Y4S6ZCP,H&S,UK,0.0026978888155922034,1,4
H&S__UK__B07FQ4RB6V,B07FQ4RB6V,H&S,UK,-0.03453048969196006,1,-1
H&S__IT__B07GTF236R,B07GTF236R,H&S,IT,0.39999999999999986,4,0
H&S__DE__B071KX221S,B071KX221S,H&S,DE,0.0051154495963957125,2,-1
H&S__IT__B00FHGGUT2,B00FHGGUT2,H&S,IT,4.085023288824944e-31,7,8
H&S__ES__B07JHNHW2K,B07JHNHW2K,H&S,ES,0.007314064152273534,1,4
Espring__DE__B07T234J87,B07T234J87,Espring,DE,0.3888888888888886,1,-1
H&S__IT__B071WJFD25,B071WJFD25,H&S,IT,0.0,1,4
Tritart__IT__B07XMCL1C2,B07XMCL1C2,Tritart,IT,0.31935483870967785,0,5
H&S__ES__B07JHGCQPR,B07JHGCQPR,H&S,ES,0.0,0,5
Espring__US__B0193JCAKG,B0193JCAKG,Espring,US,0.011031976299810163,2,-1
Espring__US__B098XCZZ3Q,B098XCZZ3Q,Espring,US,-0.02673222552407933,2,9
Espring__DE__B07V4G5TJK,B07V4G5TJK,Espring,DE,0.0,5,6
Espring__ES__B09LVF7X3D,B09LVF7X3D,Espring,ES,-2.5,5,6
Espring__ES__B09LVCLKB2,B09LVCLKB2,Espring,ES,3.844545454545456,5,6
H&S__UK__B00C13AZEA,B00C13AZEA,H&S,UK,0.012755030313033506,4,0
H&S__UK__B00C13AZEA,B00C13AZEA,H&S,UK,0.012755030313033506,4,0
H&S__UK__B06W2GK4N9,B06W2GK4N9,H&S,UK,-0.024062942953473287,2,9
Espring__IT__B014TDD6OU,B014TDD6OU,Espring,IT,0.087964338781575,2,9
Tritart__DE__B07TGFSLCB,B07TGFSLCB,Tritart,DE,-0.024637922423838842,0,5
H&S__DE__B01MSWD3MC,B01MSWD3MC,H&S,DE,-0.0,1,-1
H&S__UK__B06Y2MZH39,B06Y2MZH39,H&S,UK,-0.09741024826983899,2,-1
Espring__DE__B01N3SL15M,B01N3SL15M,Espring,DE,0.375,5,-1
Espring__US__B088RHXFJ4,B088RHXFJ4,Espring,US,-0.13022081513221792,7,8
H&S__US__B072JVLVPM,B072JVLVPM,H&S,US,-0.009324415781738647,7,8
Espring__US__B01IRAN2R2,B01IRAN2R2,Espring,US,0.1723504251373912,4,0
Espring__ES__B015H6NFPS,B015H6NFPS,Espring,ES,0.0,2,-1
Espring__DE__B07FT9R697,B07FT9R697,Espring,DE,-0.048915551453622454,1,-1
H&S__US__B01MXVFWJM,B01MXVFWJM,H&S,US,0.05068041392146596,7,-1
H&S__US__B01M8K6DZ2,B01M8K6DZ2,H&S,US,-0.7039774367500005,5,6
Espring__ES__B018I2DWPQ,B018I2DWPQ,Espring,ES,-0.006896551724137785,2,9
H&S__UK__B00C13AZFE,B00C13AZFE,H&S,UK,-0.002721336518104723,4,0
H&S__UK__B00C13AZFE,B00C13AZFE,H&S,UK,-0.002721336518104723,4,0
H&S__US__B0739F745J,B0739F745J,H&S,US,0.0,5,-1
Espring__UK__B017DIQL0O,B017DIQL0O,Espring,UK,-0.09675762131474108,7,-1
H&S__DE__B07JHGCQPR,B07JHGCQPR,H&S,DE,0.036180904522613036,0,5
H&S__IT__B07TDLK5W3,B07TDLK5W3,H&S,IT,-0.3380462724935733,0,5
Espring__DE__B01J7YPHCU,B01J7YPHCU,Espring,DE,-0.18290026689572658,2,-1
Espring__DE__B071LHTNJP,B071LHTNJP,Espring,DE,-0.022139924321713255,2,-1
H&S__UK__B01NBTJL36,B01NBTJL36,H&S,UK,-0.011886544438287855,2,-1
Espring__IT__B01N7RK458,B01N7RK458,Espring,IT,-1.0711528564381686e-31,6,2
H&S__DE__B07DZHXPL6,B07DZHXPL6,H&S,DE,-0.00027265192165074384,3,-1
H&S__US__B07TKCV8HT,B07TKCV8HT,H&S,US,-0.4298817748013963,4,0
H&S__US__B06XS97SKH,B06XS97SKH,H&S,US,0.0547400876083543,6,-1
H&S__IT__B07S5KW5WQ,B07S5KW5WQ,H&S,IT,2.118431354163667e-31,2,-1
H&S__ES__B07W51S61C,B07W51S61C,H&S,ES,-5.313636258238906e-31,0,5
H&S__DE__B071XNQZJ7,B071XNQZJ7,H&S,DE,-0.10385908909536562,5,7
H&S__ES__B07CHDHCMR,B07CHDHCMR,H&S,ES,1.232616144572502e-30,3,-1
H&S__UK__B07WTXZ2JC,B07WTXZ2JC,H&S,UK,-0.006879233503194376,1,-1
Espring__DE__B08CGYF2L5,B08CGYF2L5,Espring,DE,-0.2972972972972973,1,1
H&S__UK__B017GLNHEG,B017GLNHEG,H&S,UK,-0.01044795696984078,7,8
H&S__UK__B07F1WVSWR,B07F1WVSWR,H&S,UK,-0.0030385262226822704,1,-1
Espring__ES__B01HBA2IM4,B01HBA2IM4,Espring,ES,1.419556958406369e-17,5,-1
Espring__DE__B01IRAN2R2,B01IRAN2R2,Espring,DE,0.022137096774193555,4,0
Espring__IT__B07PPT27PH,B07PPT27PH,Espring,IT,-0.6972410981244902,0,5
