ASIN,MARKETPLACE,BRAND_NAME,regression_vals
B00TY0BZ56,DE,H&S,"[-0.056803105498501316, 9.805439044764384]"
B00TY0BZ56,ES,H&S,"[-0.012240823071172838, 11.177768029271746]"
B00TY0BZ56,FR,H&S,"[-0.007310535293639831, 12.606643652018517]"
B00TY0BZ56,IT,H&S,"[-0.003906250000000002, 11.036874999999998]"
B00TY0BZ56,UK,H&S,"[-0.017653336191049293, 10.107366787689914]"
B00TY0BZ56,US,H&S,"[0.024013776106868324, 9.744001628193455]"
B00TY1HA18,DE,H&S,"[0.34793863099921335, 23.531313926042483]"
B00TY1HA18,ES,H&S,"[1.211075529247879e-31, 26.990000000000002]"
B00TY1HA18,FR,H&S,"[1.178586403381976e-31, 29.990000000000002]"
B00TY1HA18,IT,H&S,"[0.0, 27.990000000000002]"
B00TY1HA18,UK,H&S,"[0.0025967226996304136, 23.71488281350654]"
B00TY1HA18,US,H&S,"[0.2332535437627671, 16.09264326864475]"
B00TY2O8QC,DE,H&S,"[-0.018370607028753996, 12.382172523961659]"
B00TY2O8QC,ES,H&S,"[-0.03134328358208953, 15.361641791044777]"
B00TY2O8QC,FR,H&S,"[3.7935106207909692e-31, 20.889999999999997]"
B00TY2O8QC,IT,H&S,"[-0.0, 14.490000000000002]"
B00TY2O8QC,UK,H&S,"[-0.01002944077106252, 13.3460095509017]"
B00TY2O8QC,US,H&S,"[0.33267047876267786, 12.808825252413794]"
B0144EOR7E,DE,Espring,"[-0.2802197802197803, 9.836153846153845]"
B0144EOR7E,ES,Espring,"[-0.32232558139534867, 9.506511627906978]"
B0144EOR7E,FR,Espring,"[-0.7228260869565221, 9.537826086956523]"
B0144EOR7E,IT,Espring,"[-0.05413533834586461, 8.88774436090226]"
B014TDD6OU,DE,Espring,"[-0.03863251288965, 10.860502286432618]"
B014TDD6OU,ES,Espring,"[-1.6189833162966653e-31, 11.990000000000002]"
B014TDD6OU,FR,Espring,"[-0.22292993630573255, 13.358152866242037]"
B014TDD6OU,IT,Espring,"[0.087964338781575, 12.83517087667162]"
