ASIN,MARKETPLACE,REGION,BRAND_NAME,MAIN_CATEGORY,SUB_CATEGORY
B07CKHXWR9,FR,EU,H&S,Industrial & Scientific,Industrial Electrical
B01MRE01HV,UK,UK,Espring,"Clothing, Shoes & Jewelry",Luggage & Travel Gear
B09FLHCNMQ,US,US,Espring,Home & Kitchen,Kitchen & Dining
B01IN2HDRO,TR,EU,Espring,Home & Kitchen,Kitchen & Dining
B08Q44G5ZH,SE,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07LB1FXB4,BE,EU,Espring,Industrial & Scientific,Food Service Equipment & Supplies
B07PRRQCPQ,IT,EU,Espring,Home & Kitchen,Kitchen & Dining
B017GLWKXK,TR,EU,H&S,Tools & Home Improvement,Hardware
B072LXQPCH,UK,UK,H&S,Beauty & Personal Care,Hair Care
B086T37ZV1,BE,EU,Espring,Industrial & Scientific,Food Service Equipment & Supplies
B07DW2WX4N,FR,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07V6LNFZQ,UK,UK,Espring,"Clothing, Shoes & Jewelry",Luggage & Travel Gear
B08B8JF8CB,IT,EU,Espring,Home & Kitchen,Kitchen & Dining
B07D41K7QX,SE,EU,Tritart,"Clothing, Shoes & Jewelry",Customes & Accessories
B07KV8NYBN,PL,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B08P3BVX2W,UK,UK,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07KV8NYBN,BE,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01JRVJOH2,UK,UK,Espring,Home & Kitchen,Bedding
B06XY55WTJ,IT,EU,H&S,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B06Y51KHKW,DE,EU,H&S,Beauty & Personal Care,Hair Care
B06XS97SKH,NL,EU,H&S,Beauty & Personal Care,Bath & Body
B07VNGCG2J,DE,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B08D6GR44H,FR,EU,Espring,Home & Kitchen,Bath
B01KZML92U,DE,EU,Espring,"Patio, Lawn & Garden",Outdoor Power Tools
B0857JT2ZP,ES,EU,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07DK6L9N7,DE,EU,H&S,Health & Household,Medical Supplies & Equipment
B018ASUHVU,UK,UK,Espring,Pet Supplies,Dogs
B08Q34XNJF,DE,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B09WJ1JKWP,DE,EU,Espring,Home & Kitchen,Home Décor
B01N1F59Q4,NON-AMAZON,EU,Espring,"Clothing, Shoes & Jewelry",Men
B074SXX9J9,NL,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B092JGT1QB,PL,EU,Espring,Home & Kitchen,Kitchen & Dining
B01JIVXOUO,TR,EU,Espring,Home & Kitchen,Kitchen & Dining
B08NC88S34,SE,EU,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07D25PJS4,DE,EU,H&S,Beauty & Personal Care,Shave & Hair Removal
B01NCB0U5K,TR,EU,Espring,Baby Products,Feeding
B07FT9FHCR,BE,EU,Espring,Baby Products,Nursery
B09R83SMBZ,SE,EU,Espring,Tools & Home Improvement,Hardware
B01LW0UMHZ,BE,EU,H&S,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B08B8GDLSH,SE,EU,Espring,Pet Supplies,Dogs
B08ZC82Q8Q,ES,EU,Espring,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B092D4P7SL,UK,UK,Espring,Industrial & Scientific,Food Service Equipment & Supplies
B00BVTF9GE,MX,MX,H&S,Tools & Home Improvement,Electrical
B07TTMNMLP,IT,EU,Espring,Sports & Outdoors,Exercise & Fitness
B01LZFLS7L,IT,EU,Espring,Sports & Outdoors,Outdoor Recreation
B0788Z6RBV,FR,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07PHSWVCB,IT,EU,Espring,"Clothing, Shoes & Jewelry",Men
B071WJFD25,FR,EU,H&S,Office Products,Office & School Supplies
B01K1135UO,IT,EU,H&S,Tools & Home Improvement,Hardware
B0727Q3H5D,UK,UK,Espring,Home & Kitchen,Kitchen & Dining
B00C13AZEK,UK,UK,H&S,Sports & Outdoors,Outdoor Recreation
B018I2NCBA,SE,EU,Espring,Pet Supplies,Dogs
B092D82RGQ,NL,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B08LPRLZLT,IT,EU,Espring,Tools & Home Improvement,Hardware
B07SYKTLG9,IT,EU,Espring,Sports & Outdoors,Exercise & Fitness
B073FP7B9N,FR,EU,Espring,Industrial & Scientific,Food Service Equipment & Supplies
B088MG23FH,NL,EU,Espring,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B06Y2MZH39,US,US,H&S,Home & Kitchen,Bath
B01MCWLB30,PL,EU,Espring,"Clothing, Shoes & Jewelry",Men
B01H2BUVXU,NON-AMAZON,EU,Espring,Beauty & Personal Care,Salon & Spa Equipment
B01M7RJXEE,SE,EU,H&S,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B071YVMZV4,IT,EU,Espring,Home & Kitchen,Bath
B01JRWQU2S,IT,EU,Espring,Automotive,Baby Car Seats & Accessories
B083DHG56N,UK,UK,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B092D5D8T3,ES,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01I9HCUV2,UK,UK,Espring,Home & Kitchen,Kitchen & Dining
B018I2DWPQ,IT,EU,Espring,Home & Kitchen,Kitchen & Dining
B08Q346F19,NL,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07WHKPSYX,BE,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B083KBDRSW,SE,EU,Tritart,Office Products,Office & School Supplies
B07P4362J2,ES,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01KTURHRO,ES,EU,Espring,Pet Supplies,Dogs
B085H4Z36Y,PL,EU,Tritart,Beauty & Personal Care,Makeup
B08ZXDKNK4,BE,EU,Espring,Pet Supplies,Dogs
B08Q449TCF,TR,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07WK1M7Y8,ES,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01KTURHRO,FR,EU,Espring,Pet Supplies,Dogs
B07RF6S3K3,SE,EU,H&S,Industrial & Scientific,Food Service Equipment & Supplies
B07JZD2S4S,NL,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B092JGT1QB,ES,EU,Espring,Home & Kitchen,Kitchen & Dining
B08DXD8664,SE,EU,Espring,Office Products,Office & School Supplies
B01JP1QDKU,CA,CA,Espring,Pet Supplies,Dogs
B07QC7DM54,BE,EU,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07LB1FXB4,NL,EU,Espring,Industrial & Scientific,Food Service Equipment & Supplies
B0857JKTZL,SE,EU,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B073ZMSSND,NL,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B08ZY7Q88L,SE,EU,Espring,Pet Supplies,Dogs
B01HEW8EF4,ES,EU,Espring,Tools & Home Improvement,Power & Hand Tools
B08ZY7Q88L,UK,UK,Espring,Pet Supplies,Dogs
B09HQWG145,IT,EU,Espring,Tools & Home Improvement,Hardware
B08JCVX1WY,US,US,Espring,Home & Kitchen,Kitchen & Dining
B06Y4ND4LX,BE,EU,H&S,Pet Supplies,Dogs
B00NBCCR0A,BE,EU,H&S,Books,Calendars
B073WNN94R,SE,EU,Tritart,Industrial & Scientific,Power & Hand Tools
B01H2BUVXU,SE,EU,Espring,Beauty & Personal Care,Salon & Spa Equipment
B01GOELKWW,ES,EU,Espring,Baby Products,Safety
B08FQTDNRC,IT,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B016CQV2E8,ES,EU,H&S,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B07TZHYZ1N,TR,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B073ZN6SH9,SE,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01LPSMHS8,NL,EU,Espring,Automotive,Interior Accessories
B01HFIOUJG,MX,MX,Espring,Sports & Outdoors,Outdoor Recreation
B092D6LYT3,SE,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
