ASIN,MARKETPLACE,BRAND_NAME,correlation_coeff
B00BBL0OPS,DE,H&S,-0.22843599992371638
B00BBL0OPS,ES,H&S,-0.13865747690480554
B00BBL0OPS,FR,H&S,-0.08514368271094437
B00BBL0OPS,IT,H&S,0.07312724241271308
B00BBL0OPS,UK,H&S,-0.3459667000848451
B00BVG3JMS,DE,H&S,0.0
B00BVG3JMS,ES,H&S,0.0
B00BVG3JMS,FR,H&S,-0.08883916152643677
B00BVG3JMS,IT,H&S,0.0
B00BVG3JMS,UK,H&S,-0.08789897064655908
B00BVG3JMS,US,H&S,-0.4613110437145771
B00BVTF9GE,US,H&S,-0.46504900686844286
B00BVUIVYU,DE,H&S,-0.3091474078133512
B00BVUIVYU,ES,H&S,-0.08043547131019563
B00BVUIVYU,FR,H&S,-0.06664487782521988
B00BVUIVYU,IT,H&S,0.111595996903873
B00BVUIVYU,UK,H&S,-0.1658482863892593
B00BVUIVYU,US,H&S,-0.24137926727177045
B00C01Z4BC,DE,H&S,-0.06749861997675075
B00C01Z4BC,ES,H&S,0.0
B00C01Z4BC,FR,H&S,0.0
B00C01Z4BC,IT,H&S,0.0
B00C01Z4BC,PL,H&S,-0.4305853491748064
B00C01Z4BC,UK,H&S,0.04536173101445817
B00C01Z4BC,US,H&S,-0.05672550832602386
B00C13AZEA,DE,H&S,0.2573448244240815
B00C13AZEA,ES,H&S,0.05150190126843879
B00C13AZEA,FR,H&S,0.04761904761904762
B00C13AZEA,IT,H&S,0.10288518929951111
B00C13AZEA,UK,H&S,0.13206596371448767
B00C13AZEA,US,H&S,-0.12393677156307971
B00C13AZEK,DE,H&S,0.0
B00C13AZEK,ES,H&S,0.06186552117263072
B00C13AZEK,FR,H&S,0.0
B00C13AZEK,IT,H&S,0.11418170935008126
B00C13AZEK,PL,H&S,0.9255457154108938
B00C13AZEK,UK,H&S,-0.23769112258390257
B00C13AZEK,US,H&S,-0.2615011167529317
B00C13AZFE,DE,H&S,0.0
B00C13AZFE,ES,H&S,-0.14882030423462095
B00C13AZFE,FR,H&S,0.0
B00C13AZFE,IT,H&S,0.0
B00C13AZFE,UK,H&S,-0.02426367627616889
B00C13AZFE,US,H&S,0.16601599117268234
B00C1S9C4Y,DE,H&S,-0.593493105295573
B00C1S9C4Y,ES,H&S,-0.13847976555620664
B00C1S9C4Y,FR,H&S,-0.4211810168760606
B00C1S9C4Y,IT,H&S,-0.1716703521118486
B00C1S9C4Y,UK,H&S,-0.022433856930855343
B00C1S9C4Y,US,H&S,-0.08744026624902643
B00DHPM6GG,UK,H&S,0.15760428699532433
B00DHPM6GG,US,H&S,-0.48021404942574203
B00FAZ6L4Y,DE,H&S,0.32719672639307595
B00FAZ6L4Y,ES,H&S,0.0
B00FAZ6L4Y,FR,H&S,-0.03551104121142175
B00FAZ6L4Y,IT,H&S,0.06764090781550947
B00FAZ6L4Y,UK,H&S,0.08755741989524266
B00FAZ6L4Y,US,H&S,0.28274885550029294
B00FHGCK32,DE,H&S,-0.030969207267646598
B00FHGCK32,ES,H&S,-0.09476656550036838
B00FHGCK32,FR,H&S,-0.17889480370167857
B00FHGCK32,IT,H&S,-0.20058008834350496
B00FHGCK32,UK,H&S,-0.16560697410133243
B00FHGCK32,US,H&S,0.3768426690835838
B00FHGGUT2,DE,H&S,-0.02269501034695027
B00FHGGUT2,ES,H&S,0.0
B00FHGGUT2,FR,H&S,-0.07815835540142967
B00FHGGUT2,IT,H&S,0.0
B00FHGGUT2,UK,H&S,0.06345491048776139
B00FHGGUT2,US,H&S,0.04631306731789421
B00K1Q9HIE,ES,H&S,0.0
B00K1Q9HIE,FR,H&S,0.0
B00K1Q9HIE,IT,H&S,0.0
B00K1Q9HIE,UK,H&S,-0.37259306337086223
B00K1Q9HIE,US,H&S,-0.177306946562708
B00MVG3X6Y,UK,H&S,0.013599337420365575
B00MVG3X6Y,US,H&S,-0.06938418664258454
B00NBCCR0A,DE,H&S,0.0
B00NBCCR0A,IT,H&S,-0.161198024448813
B00NBCCR0A,UK,H&S,0.07195661908793906
B00NBCCR0A,US,H&S,-0.16569976828772706
B00TY0BZ56,DE,H&S,-0.33763986288264136
B00TY0BZ56,ES,H&S,-0.3022524567288879
B00TY0BZ56,FR,H&S,-0.046831192469250105
B00TY0BZ56,IT,H&S,-0.0859757345015262
B00TY0BZ56,UK,H&S,-0.27316981222298947
B00TY0BZ56,US,H&S,0.13679447302106185
B00TY1HA18,DE,H&S,0.2706010152101018
B00TY1HA18,ES,H&S,0.0
B00TY1HA18,FR,H&S,0.0
B00TY1HA18,IT,H&S,0.0
B00TY1HA18,UK,H&S,0.06222635096453479
B00TY1HA18,US,H&S,0.25984733146931777
B00TY2O8QC,DE,H&S,-0.19335623991638207
B00TY2O8QC,ES,H&S,-0.07565418780465208
B00TY2O8QC,FR,H&S,0.0
B00TY2O8QC,IT,H&S,0.0
B00TY2O8QC,UK,H&S,-0.2971161234158112
B00TY2O8QC,US,H&S,0.17594686798881565
B0144EOR7E,DE,Espring,-0.07951191739781147
B0144EOR7E,ES,Espring,-0.20664384536282226
B0144EOR7E,FR,Espring,-0.20620179821155235
B0144EOR7E,IT,Espring,-0.03361806178532256
B014TDD6OU,DE,Espring,-0.29663389678944807
B014TDD6OU,ES,Espring,0.0
B014TDD6OU,FR,Espring,-0.23368589375354723
B014TDD6OU,IT,Espring,0.11885376560913706
B014TDD6OU,UK,Espring,-0.3509752279492456
B014TDD6OU,US,Espring,-0.24017997936583285
B014TDD6P4,ES,Espring,-0.05976143046671968
B014TDD6P4,FR,Espring,-0.016700412134153568
B014TDD94W,DE,Espring,0.0
B014TDD94W,ES,Espring,-0.22432131608160694
B014TDD94W,IT,Espring,-0.15463905646043166
B015FX4ZZ2,DE,Espring,-0.05188246370766188
B015FX4ZZ2,ES,Espring,0.05101043376054712
B015FX4ZZ2,FR,Espring,-0.2632939548912319
B015FX4ZZ2,IT,Espring,-0.05583348735843241
B015H6NFPS,DE,Espring,0.0
B015H6NFPS,ES,Espring,0.0
B015H6NFPS,FR,Espring,0.0
B015H6NFPS,IT,Espring,0.0
B01648O8CM,DE,H&S,0.3230929543445862
B01648O8CM,ES,H&S,-0.04315050679129482
B01648O8CM,FR,H&S,-0.6810192836209512
B01648O8CM,IT,H&S,1.3877787807814457e-17
B01648O8CM,PL,H&S,0.1685791140931927
B01648O8CM,UK,H&S,-0.2963501514200688
B01648O8CM,US,H&S,-0.6631730647433095
B016AHAPJC,DE,H&S,-0.5549295122124355
B016AHAPJC,ES,H&S,-0.27019494888490425
B016AHAPJC,FR,H&S,0.0
B016AHAPJC,IT,H&S,-0.5696678623104885
B016AHAPJC,UK,H&S,-0.21837696244605045
B016AHAPJC,US,H&S,0.08801677163441121
B016CQV2E8,DE,H&S,-0.11948198592345292
B016CQV2E8,ES,H&S,-0.05661212869568846
B016CQV2E8,FR,H&S,0.07495836802343658
B016CQV2E8,IT,H&S,0.005417321581430504
B016CQV2E8,UK,H&S,-0.06646872046474434
B016CQV2E8,US,H&S,-0.6245325341870047
B016JQDRNU,DE,H&S,-0.14435820043220046
B016JQDRNU,ES,H&S,-0.20325467491128485
B016JQDRNU,FR,H&S,0.0
B016JQDRNU,IT,H&S,-0.2498911915971986
B016JQDRNU,UK,H&S,0.16007494766810054
B016JQDRNU,US,H&S,-0.2799207055929019
B016KSQ5F4,DE,H&S,0.19967836007551912
B016KSQ5F4,ES,H&S,0.0
B016KSQ5F4,FR,H&S,0.0
B016KSQ5F4,IT,H&S,0.0
B016KSQ5F4,UK,H&S,0.1081089952012083
B016KSQ5F4,US,H&S,0.03869986412366643
B016LHY28G,DE,H&S,-0.07804632348110187
B016LHY28G,ES,H&S,0.0
B016LHY28G,FR,H&S,-0.2044223545147182
B016LHY28G,IT,H&S,0.0
B016LHY28G,PL,H&S,0.44166763147220284
B016LHY28G,UK,H&S,-0.025634485382882266
B017DIQL0O,DE,Espring,-0.15934199355581782
B017DIQL0O,ES,Espring,0.0
B017DIQL0O,FR,Espring,0.0
B017DIQL0O,IT,Espring,0.0
B017DIQL0O,UK,Espring,-0.1497970847722339
B017GLNHEG,DE,H&S,0.3577293387955059
B017GLNHEG,ES,H&S,0.5491887505793828
B017GLNHEG,FR,H&S,0.20562001908683608
B017GLNHEG,IT,H&S,-0.07993113045067135
B017GLNHEG,UK,H&S,-0.19170364185183078
B017GLNHEG,US,H&S,-0.19480996035432874
B017GLWKXK,DE,H&S,-0.06031793794762581
B017GLWKXK,ES,H&S,-0.05431882460322896
B017GLWKXK,FR,H&S,-0.2114915724687614
B017GLWKXK,IT,H&S,-0.2149598166232851
B017GLWKXK,UK,H&S,0.18935330462132707
B017GLWKXK,US,H&S,-0.011254053879832214
