
ASIN,REGION,MARKETPLACE_NAME,COUNTRY,BRAND,MIN_CATEGORY_LEAF_NAME
B0872W1YTK,Europe,amazon.uk,United Kingdom,Espring,Bed Blankets
B0832FL327,Europe,amazon.uk,United Kingdom,Espring,Bungee Cords
B01JP01YFU,Europe,amazon.uk,United Kingdom,Espring,Beauty Challenge T&Cs
B08L8HPQBX,Europe,amazon.uk,United Kingdom,Espring,Crochet Hooks
B07LB1FXB4,Europe,amazon.uk,United Kingdom,Espring,Barware Sets
B08MJM8L9F,Europe,amazon.uk,United Kingdom,Espring,Overlays
B08B8GDLSH,Europe,amazon.uk,United Kingdom,Espring,Hair Removal Mitts & Rollers
B09V58YM52,Europe,amazon.uk,United Kingdom,Espring,Training Leads
B09V5B17B9,Europe,amazon.uk,United Kingdom,Espring,Mortar & Pestle Sets
B09LVBHZKQ,Europe,amazon.uk,United Kingdom,Espring,Luggage Tags
B088RGRS86,Europe,amazon.uk,United Kingdom,Espring,Bungee Cords
B01N1F59Q4,Europe,amazon.uk,United Kingdom,Espring,Boxers
B06Y4S6ZCP,North America,amazon.ca,Canada,H&S,External Solid State Drives
B07DW2WX4N,North America,amazon.ca,Canada,H&S,Elastic Bands
B073ZQFKV4,North America,amazon.ca,Canada,H&S,Coasters
B074VWN2SN,North America,amazon.ca,Canada,H&S,Robotic Vacuums
B0B5H6LK3Q,Europe,amazon.uk,United Kingdom,Espring,Laser Printer Paper
B07YZCZLW5,Europe,amazon.uk,United Kingdom,Espring,Shoe Laces
B071Z9HGFK,Europe,amazon.uk,United Kingdom,Espring,Seat Belt Padding
B017DJFUNC,Europe,amazon.uk,United Kingdom,Espring,Stroller Hooks
B07V6LGWMZ,Europe,amazon.uk,United Kingdom,Espring,Customers' Most Loved Aisle
B07ZP7C22T,Europe,amazon.uk,United Kingdom,Espring,Diaries
B08Q3CP2J5,Europe,amazon.be,Belgium,Tritart,Fournitures de dessin et de peinture
B092D6PM4S,Europe,amazon.be,Belgium,Tritart,Peintures
B07VXN786X,Europe,amazon.be,Belgium,Tritart,Papier cartonné
B07QQVMXW5,Europe,amazon.be,Belgium,Tritart,Gommes carrées
B07WHKPSYX,Europe,amazon.be,Belgium,Tritart,Papier cartonné
B08WWNH8XF,Europe,amazon.be,Belgium,Tritart,Papier Kraft
B073XSJMK5,Europe,amazon.de,Germany,Tritart,
B07VWR69VX,Europe,amazon.de,Germany,Tritart,Farben
B08Q34XNJF,Europe,amazon.de,Germany,Tritart,Tempera
B08Q43R7MK,Europe,amazon.de,Germany,Tritart,Zeichen- & Typografiezubehör
B083DHG56N,Europe,amazon.de,Germany,Tritart,Tonpapier
B08Q46SPCB,Europe,amazon.de,Germany,Tritart,Messer
B07PNX2XJF,Europe,amazon.de,Germany,Tritart,Weißwandstifte
B073WBT4V7,Europe,amazon.de,Germany,Tritart,Pinselsets
B07XMCL1C2,Europe,amazon.de,Germany,Tritart,Origami-Papier
B08Q2TZMVD,Europe,amazon.de,Germany,Tritart,Kratzbilder
B07DGKQ896,Europe,amazon.es,Spain,Tritart,Rotuladores de punta fina
B07DJQ81QT,Europe,amazon.es,Spain,Tritart,Pinturas
B08Q47YQBG,Europe,amazon.es,Spain,Tritart,Manualidades con papel
B07TZHYZ1N,Europe,amazon.es,Spain,Tritart,Purpurina
B08X1Q96MN,Europe,amazon.es,Spain,Tritart,Bolsas para joyas
B071YYH1GG,Europe,amazon.es,Spain,Tritart,
B073ZMSSND,Europe,amazon.es,Spain,Tritart,Papel cebolla
B0829B5PR6,Europe,amazon.es,Spain,Tritart,Papel para manualidades
B08Q3F1Z1N,Europe,amazon.es,Spain,Tritart,Papel para acuarela
B08X1SQWL4,Europe,amazon.es,Spain,Tritart,Bolsas para joyas
B07QQVMXW5,Europe,amazon.es,Spain,Tritart,Borradores de cubo
B07VYSC1NR,Europe,amazon.es,Spain,Tritart,Pizarras de tiza
B08X33TNXG,Europe,amazon.es,Spain,Tritart,Papel para acuarela
B073WNN94R,North America,amazon.mx,Mexico,Tritart,
B078PY739S,Europe,amazon.uk,United Kingdom,H&S,Customers' Most-Loved Home & Kitchen
B00C1SRLG0,Europe,amazon.uk,United Kingdom,H&S,Find Your Inner Balance
B01NBTJL36,Europe,amazon.uk,United Kingdom,H&S,Revamp Your Bathroom & Kitchen
B07QV6S7N3,Europe,amazon.uk,United Kingdom,H&S,Pins & Tacks
B017QDERBQ,Europe,amazon.uk,United Kingdom,H&S,Boxes & Organisers
B07BN18YV6,Europe,amazon.uk,United Kingdom,H&S,Alarm Clocks
B016CQV2E8,Europe,amazon.uk,United Kingdom,H&S,Customers' Most-Loved Home & Kitchen
B00GQ1294C,Europe,amazon.uk,United Kingdom,H&S,Knobs
B07CKHTHYV,Europe,amazon.uk,United Kingdom,H&S,Presentation Books
B016N0HSD2,Europe,amazon.uk,United Kingdom,H&S,Watch Stands
B00TZ9QGKK,Europe,amazon.uk,United Kingdom,H&S,Box Mailers
B0BS6R4JGP,Europe,amazon.uk,United Kingdom,H&S,Project & Pocket Folders
B00C1SRLHO,Europe,amazon.uk,United Kingdom,H&S,Mats
B07GZ818S1,Europe,amazon.uk,United Kingdom,H&S,Customers' Most-Loved Home & Kitchen
B01N3UZDFH,Europe,amazon.uk,United Kingdom,H&S,Test
B00BVV98VY,Europe,amazon.uk,United Kingdom,H&S,Autumn Tidy Up
B00G9J3JY0,Europe,amazon.uk,United Kingdom,H&S,Boxes & Organisers
B00C464Z0O,Europe,amazon.uk,United Kingdom,H&S,Sportswear Outlet
B00DFCSF2A,Europe,amazon.uk,United Kingdom,H&S,
B00BVV98SW,Europe,amazon.uk,United Kingdom,H&S,
B00C1SRLK6,Europe,amazon.uk,United Kingdom,H&S,Find Your Inner Balance
B06Y2MZH39,Europe,amazon.uk,United Kingdom,H&S,Countertop Vanity Mirrors
B07PPM6WDZ,Europe,amazon.uk,United Kingdom,H&S,Markers
B07DW4QJX7,Europe,amazon.uk,United Kingdom,H&S,Customers’ Most Loved Furniture
B00GQ128ZW,Europe,amazon.uk,United Kingdom,H&S,Knobs
B016APSNYS,Europe,amazon.uk,United Kingdom,H&S,Watch Boxes
B0BTZ69LDB,Europe,amazon.uk,United Kingdom,H&S,Paintbrush Sets
B00C0JTQ2C,Europe,amazon.uk,United Kingdom,H&S,Alarm Clocks
B07W1GYRRP,Europe,amazon.uk,United Kingdom,H&S,Refill Pads
B072Q35687,Europe,amazon.uk,United Kingdom,H&S,Clean Home
B00GQ128ZM,Europe,amazon.uk,United Kingdom,H&S,Knobs
B0BS1BLVGT,Europe,amazon.uk,United Kingdom,H&S,Hairbrushes
B00C1SRLKQ,Europe,amazon.uk,United Kingdom,H&S,Find Your Inner Balance
B0BWNL9C2J,Europe,amazon.uk,United Kingdom,H&S,Foam Rollers
B00BWA8B9E,Europe,amazon.uk,United Kingdom,H&S,Single
B072Q35687,Europe,amazon.uk,United Kingdom,H&S,Brushes
B01M2Z0O2H,Europe,amazon.uk,United Kingdom,H&S,Toiletry Bags
B017QDERCU,Europe,amazon.uk,United Kingdom,H&S,Boxes & Organisers
B07BMZGV4Z,Europe,amazon.uk,United Kingdom,H&S,Kitchen Timers
B0788Z6RBV,Europe,amazon.uk,United Kingdom,H&S,Hot Glue Sticks
B00DMS6QM8,Europe,amazon.uk,United Kingdom,H&S,Music Stands
B00FHGCK32,Europe,amazon.uk,United Kingdom,H&S,DIY & Tools: Amazon Global Delivery Available
B07BVZNTMD,Europe,amazon.uk,United Kingdom,H&S,Safety Work Gloves
B01MXJK8J4,Europe,amazon.uk,United Kingdom,H&S,Test
B00C13WAQQ,Europe,amazon.uk,United Kingdom,H&S,Hanging Ornaments
B072LXQPCH,Europe,amazon.uk,United Kingdom,H&S,Beauty Challenge
B00BWA8AXQ,Europe,amazon.uk,United Kingdom,H&S,"Stands, Hangers & Racks"
B06XSBHLLZ,Europe,amazon.uk,United Kingdom,H&S,Business Card Holders
B01MCWLB30,Europe,amazon.uk,United Kingdom,Espring,Wallets
B06XS97SKH,North America,amazon.ca,Canada,H&S,Shower Brushes
B01MXVFWJM,North America,amazon.ca,Canada,H&S,Shower Arms & Slide Bars
B08Q45WM7G,Europe,amazon.be,Belgium,Tritart,
B07WFHKFCN,Europe,amazon.de,Germany,Tritart,Tonpapier
B08Q346F19,Europe,amazon.es,Spain,Tritart,Papel para acuarela
B07WHHH7CY,Europe,amazon.es,Spain,Tritart,Lápices de madera
B07VWR69VX,Europe,amazon.es,Spain,Tritart,Tintes
B07S732NKF,Europe,amazon.uk,United Kingdom,H&S,Curtain Rings
B00TY0XZWM,Europe,amazon.uk,United Kingdom,H&S,Coat Hooks
B00MVG3X6Y,Europe,amazon.uk,United Kingdom,H&S,Customers’ Most Loved: Toys
B01MY6R11P,Europe,amazon.uk,United Kingdom,H&S,Beauty Challenge T&Cs
B07JZD2S4S,Europe,amazon.uk,United Kingdom,H&S,Paintbrush Sets
B00C13AZEA,Europe,amazon.uk,United Kingdom,H&S,Chain Locks
B01NBTJL36,Europe,amazon.uk,United Kingdom,H&S,Shower Hoses
B07DPRTTQ9,Europe,amazon.uk,United Kingdom,H&S,Reusable Straws
B018A0HQLC,Europe,amazon.uk,United Kingdom,H&S,Boxes & Organisers
B016CRA4DC,Europe,amazon.uk,United Kingdom,H&S,Boxes & Organisers
B07DZHXPL6,Europe,amazon.uk,United Kingdom,H&S,Tripods
B06Y4ND43F,Europe,amazon.uk,United Kingdom,H&S,Car Harnesses
